latitude;longitude
0.360086810;-78.113756470
0.360086810;-78.113756470
0.360086810;-78.113756470
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359888500;-78.113453100
0.359888500;-78.113453100
0.359888500;-78.113453100
0.359867650;-78.113435850
0.359863180;-78.113431900
0.359863120;-78.113422390
0.359862120;-78.113419580
0.359861490;-78.113405790
0.359858220;-78.113398350
0.359855410;-78.113391780
0.359853330;-78.113384180
0.359852910;-78.113375230
0.359852610;-78.113366280
0.359852530;-78.113356600
0.359852460;-78.113351000
0.359853030;-78.113342250
0.359856630;-78.113335910
0.359860000;-78.113328710
0.359861740;-78.113316930
0.359863220;-78.113303470
0.359864000;-78.113294630
0.359863830;-78.113286200
0.359864480;-78.113280260
0.359867240;-78.113276650
0.359869130;-78.113272570
0.359870010;-78.113263110
0.359871900;-78.113252600
0.359869840;-78.113242740
0.359868860;-78.113233200
0.359866750;-78.113218980
0.359866700;-78.113206210
0.359864370;-78.113186050
0.359864600;-78.113174360
0.359861440;-78.113160770
0.359859410;-78.113143210
0.359857050;-78.113133870
0.359855780;-78.113130460
0.359856090;-78.113122440
0.359856810;-78.113114220
0.359857560;-78.113107120
0.359857360;-78.113096350
0.359857610;-78.113088750
0.359858090;-78.113076860
0.359855380;-78.113065390
0.359852090;-78.113055020
0.359850210;-78.113040800
0.359851440;-78.113028920
0.359852020;-78.113020400
0.359852900;-78.113007250
0.359851310;-78.112995780
0.359849580;-78.112988980
0.359847630;-78.112984210
0.359847980;-78.112970730
0.359847360;-78.112960310
0.359846000;-78.112958500
0.359843570;-78.112950360
0.359841860;-78.112939460
0.359840570;-78.112928950
0.359837590;-78.112917730
0.359838420;-78.112906560
0.359840840;-78.112898280
0.359842870;-78.112889960
0.359844800;-78.112870940
0.359841980;-78.112861440
0.359840410;-78.112849820
